Name;RA;Dec;ra1;ra2;ra3;RA_dec;RA_radians;sde;de1;de2;de3;de_dec;Dec_radians;LongGal;LatGal;B;V;B-V;B0-V0;EB-V;Sp;Sp_s;Distance;Miles
HD 179406;19 12 40,71241;-07 56 22,2610;19;12;40.7;288.169635;5.029508936;-;07;56;22.3;-7.939516944;-0.138570712;28.2285;-8.3118;5.45;5.362;0.088;-0.2;0.29;B3V;B3;163.7674535;
HD 180317;19 15 17,36135;+21 13 55,6246;19;15;17.4;288.822339;5.040900768;+;21;13;55.6;21.23211794;0.370570365;54.5001;4.5284;5.768;5.654;0.114;0.12;-0.01;A4V;A4;166.5620843;
HD 180555;19 16 26,78744;+14 32 40,6234;19;16;26.8;289.1116143;5.045949576;+;14;32;40.6;14.54461761;0.253851466;48.6933;1.1859;5.61;5.63;-0.02;-0.07;0.05;B9,5V;B9,5;173.1279828;
HD 180777;19 09 09,87929;+76 33 37,8042;19;09;09.9;287.2911637;5.014176719;+;76;33;37.8;76.56050117;1.336232822;108.0796;25.3099;5.408;5.124;0.284;0.2;0.08;A7V;A7;111.4056982;
HD 180885;19 19 39,99298;-35 25 17,2318;19;19;40.0;289.9166374;5.059999879;-;35;25;17.2;-35.42145328;-0.618220986;2.7597;-20.6946;5.461;5.577;-0.116;-0.2;0.08;B3V;B3;136.5603359;
HD 181454;19 22 38,29770;-44 27 32,2458;19;22;38.3;290.6595738;5.072966564;-;44;27;32.2;-44.45895717;-0.775955185;353.6134;-23.9276;3.869;3.954;-0.085;-0.07;-0.02;B9V;B9;127.5383311;
HD 181869;19 23 53,17483;-40 36 57,3705;19;23;53.2;290.9715618;5.078411783;-;40;36;57.4;-40.61593625;-0.708881816;357.7113;-23.0896;3.867;3.95;-0.083;-0.11;0.03;B8V;B8;131.3833859;
HD 182681;19 26 56,48284;-29 44 35,6170;19;26;56.5;291.7353452;5.091742318;-;29;44;35.6;-29.74322694;-0.51911724;9.0153;-20.2092;5.652;5.65;0.002;-0.07;0.07;B9V;B9;142.2538857;
HD 182919;19 26 13,24574;+20 05 51,8427;19;26;13.2;291.5551906;5.088598027;+;20;05;51.8;20.09773408;0.350771632;54.6927;1.7378;5.596;5.594;0.002;-0.01;0.01;A0V;A0;167.8986598;
HD 18331 ;02 56 37,42306;-03 42 44,3505;02;56;37.4;44.15592942;0.770666353;-;03;42;44.4;-3.712319583;-0.0647922;180.3573;-52.0376;5.25;5.16;0.09;0.08;0.01;A3V;A3;66.81921107;
HD 183324;19 29 00,98795;+01 57 01,6159;19;29;01.0;292.2541165;5.100796585;+;01;57;01.6;1.950448861;0.034041755;38.992;-7.4507;5.876;5.793;0.083;-0.01;0.09;A0V;A0;173.8683783;
HD 183534;19 27 25,95887;+52 19 13,5737;19;27;26.0;291.858162;5.093885875;+;52;19;13.6;52.32043714;0.913163894;84.0232;16.0095;5.75;5.75;0;0.02;-0.02;A1V;A1;135.6767667;
HD 183914;19 30 45,39543;+27 57 54,9950;19;30;45.4;292.6891476;5.108389311;+;27;57;55.0;27.96527639;0.488086149;62.1183;4.5673;5.027;5.088;-0.061;-0.11;0.05;B8Ve;B8;159.9884799;
HD 184006;19 29 42,35872;+51 43 47,2058;19;29;42.4;292.4264947;5.103805152;+;51;43;47.2;51.72977939;0.902854972;83.6119;15.4488;3.917;3.769;0.148;0.15;0.00;A5V;A5;136.2595046;
HD 18411 ;02 58 45,66985;+39 39 45,8141;02;58;45.7;44.69029104;0.779992722;+;39;39;45.8;39.66272614;0.692245161;148.0435;-16.9208;4.754;4.685;0.069;0.05;0.02;A2Vn;A2;77.61865467;
HD 184875;19 34 41,25930;+42 24 45,0369;19;34;41.3;293.6719138;5.125541816;+;42;24;45.0;42.41251025;0.740237948;75.3845;10.6191;5.404;5.348;0.056;0.05;0.01;A2V;A2;145.5213347;
HD 18519 ;02 59 12,6 ; +21 20 23         ;02;59;12.6;44.8025;0.781951138;+;21;20;23.0;21.33972222;0.372448414;158.6928;-32.5144;4.67;4.63;0.04;0.05;-0.01;A2Vs;A2;71.46244392;
HD 18519J;02 59 12,72536;+21 20 25,5575;02;59;12.7;44.80302233;0.781960255;+;21;20;25.6;21.34043264;0.372460813;158.6928;-32.5135;4.71;4.66;0.05;0.05;0.00;A2V+,,,;A2;71.46218313;
HD 18520 ;02 59 12,680 ; +01 20 25,38    ;02;59;12.7;44.80283333;0.781956956;+;01;20;25.4;1.340383333;0.023394102;158.6926;-32.5137;4.67;4.63;0.04;0.05;-0.01;A2Vs;A2;66.89970213;
HD 18537 ;03 00 52,21297;+52 21 06,2222;03;00;52.2;45.21755404;0.789195198;+;52;21;06.2;52.35172839;0.913710029;142.1096;-5.6336;5.196;5.253;-0.057;-0.13;0.07;B7V;B7;82.21158614;
HD 185507;19 39 11,64246;+05 23 51,9797;19;39;11.6;294.7985103;5.145204634;+;05;23;52.0;5.397772139;0.094208896;43.2673;-8.0711;5.176;5.178;-0.002;-0.2;0.20;B3V+,,,;B3;175.6193731;
HD 185936;19 41 05,52831;+13 48 56,4502;19;41;05.5;295.2730346;5.153486647;+;13;48;56.5;13.81568061;0.241129115;50.9085;-4.4101;5.907;5.988;-0.081;-0.16;0.08;B5V;B5;172.9706132;
HD 18623 ;02 58 16,408; -00 18 16,84    ;02;58;16.4;44.56836667;0.777864741;-;00;18;16.8;-0.304677778;-0.00531763;247.8543;-60.7341;4.4;4.3;0.1;0.02;0.08;A1V;A1;66.87601489;
HD 18633 ;02 59 41,15893;-02 27 53,8380;02;59;41.2;44.92149554;0.784028002;-;02;27;53.8;-2.464955;-0.043021581;179.6751;-50.6381;5.48;5.55;-0.07;-0.07;0.00;B9,5V;B9,5;66.22145738;
HD 186500;19 46 01,21689;-31 54 30,8573;19;46;01.2;296.5050704;5.174989727;-;31;54;30.9;-31.90857147;-0.556909632;8.2507;-24.7874;5.532;5.514;0.018;-0.11;0.13;B8V;B8;139.7769112;
HD 187077;19 47 23,35; +18 32 03,5      ;19;47;23.4;296.8472917;5.180962615;+;18;32;03.5;18.53430556;0.323484657;55.7671;-3.3837;5.19;3.78;1.41;-0.07;1.48;B9,5V;B9,5;168.1445227;
HD 187235;19 47 27,78001;+38 24 27,4111;19;47;27.8;296.86575;5.181284775;+;38;24;27.4;38.40761419;0.670339326;72.9941;6.5742;5.739;5.826;-0.087;-0.11;0.02;B8Vn;B8;149.1734021;
HD 187362;19 48 58,65978;+19 08 31,3516;19;48;58.7;297.2444158;5.187893738;+;19;08;31.4;19.14204211;0.33409166;56.4826;-3.4029;5.1;5;0.1;0.08;0.02;A3V;A3;167.4313068;
HD 187642;19 50 46,99855;+08 52 05,9563;19;50;47.0;297.6958273;5.195772356;+;08;52;06.0;8.868321194;0.154781404;47.7441;-8.9092;0.99;0.77;0.22;0.2;0.02;A7V;A7;173.5651663;
HD 187811;19 51 04,10821;+22 36 36,1732;19;51;04.1;297.7671175;5.197016605;+;22;36;36.2;22.61004811;0.394619784;59.7235;-2.0663;4.75;4.893;-0.143;-0.24;0.10;B2,5Ve;B2,5;164.1034171;
HD 188293;19 54 37,65152;-08 13 38,2390;19;54;37.7;298.6568813;5.212545913;-;08;13;38.2;-8.227288611;-0.143593275;32.6612;-17.7609;5.63;5.71;-0.08;-0.13;0.05;B7Vn;B7;162.1725141;
HD 188665;19 53 17,37765;+57 31 24,5291;19;53;17.4;298.3224069;5.206708232;+;57;31;24.5;57.52348031;1.003974129;90.5511;14.9077;5.009;5.132;-0.123;-0.16;0.04;B5V;B5;130.1724715;
HD 18883 ;03 02 22,51810;+04 21 10,3939;03;02;22.5;45.59382542;0.795762372;+;04;21;10.4;4.352887194;0.075972214;173.0831;-45.3879;5.508;5.607;-0.099;-0.13;0.03;B7V;B7;66.64298932;
HD 188899;19 57 57,03129;-15 29 29,3554;19;57;57.0;299.4876304;5.227045219;-;15;29;29.4;-15.49148761;-0.270377465;26.018;-21.5441;5.07;5.011;0.059;0.05;0.01;A2V;A2;155.1312134;
HD 189037;19 55 37,78622;+52 26 20,2116;19;55;37.8;298.9074426;5.216919032;+;52;26;20.2;52.43894767;0.915232293;86.1044;12.209;5.04;4.92;0.12;0.12;0.00;A4Vn;A4;135.1222269;
HD 189178;19 57 13,86799;+40 22 04,1734;19;57;13.9;299.3077833;5.223906295;+;40;22;04.2;40.36782594;0.704551475;75.6539;5.9314;5.364;5.453;-0.089;-0.16;0.07;B5V;B5;146.8434993;
HD 189395;19 58 37,98164;+30 59 01,1943;19;58;38.0;299.6582568;5.230023213;+;30;59;01.2;30.98366508;0.54076697;67.7658;0.8149;5.447;5.506;-0.059;-0.07;0.01;B9Vn;B9;155.7121966;
HD 189944;20 01 44,71103;+24 48 01,5184;20;01;44.7;300.436296;5.243602557;+;24;48;01.5;24.80042178;0.432849016;62.8663;-3.0214;5.739;5.872;-0.133;-0.18;0.05;B4V;B4;161.0474714;
