Name;RA;Dec;ra1;ra2;ra3;RA_dec;RA_radians;sde;de1;de2;de3;de_dec;Dec_radians;LongGal;LatGal;B;V;B-V;B0-V0;EB-V;Sp;Sp_s;Distance;Miles
HD 100600;11 34 42,49024;+16 47 48,8956;11;34;42.5;173.6770427;3.03123623;+;16;47;48.9;16.79691544;0.293161479;239.179;69.4687;5.78;5.94;-0.16;-0.18;0.02;B4V;B4;66.50942071;
HD 100673;11 34 45,65581;-54 15 50,7320;11;34;45.7;173.6902325;3.031466436;-;54;15;50.7;-54.26409222;-0.947087075;291.7927;6.9409;4.548;4.614;-0.066;-0.07;0.00;B9Ve;B9;67.6313768;
HD 100889;11 36 40,91335;-09 48 08,0912;11;36;40.9;174.1704723;3.039848201;-;09;48;08.1;-9.802247556;-0.171081494;274.2494;48.8616;4.626;4.682;-0.056;-0.07;0.01;B9,5Vn;B9,5;62.10132053;
HD 101431;11 40 12,78970;-34 44 40,7733;11;40;12.8;175.0532904;3.055256284;-;34;44;40.8;-34.74465925;-0.606408701;286.7153;25.8742;4.623;4.693;-0.07;-0.07;0.00;B9V;B9;63.98984669;
HD 10144 ;01 37 42,84548;-57 14 12,3101;01;37;42.8;24.42852283;0.426358155;-;57;14;12.3;-57.23675281;-0.99896979;290.8412;-58.792;0.3;0.5;-0.2;-0.14;-0.06;B6Vep;B6;81.56154864;
HD 101615;11 41 19,79057;-43 05 44,3987;11;41;19.8;175.3324607;3.060128725;-;43;05;44.4;-43.09566631;-0.75216127;289.5666;17.9492;5.572;5.531;0.041;-0.01;0.05;A0V;A0;65.72356796;
HD 102124;11 45 17,04027;+08 15 29,2150;11;45;17.0;176.3210011;3.07738201;+;08;15;29.2;8.258115278;0.144131302;260.1825;65.4799;5.006;4.845;0.161;0.12;0.04;A4V;A4;66.854021;
HD 102249;11 45 36,41916;-66 43 43,5440;11;45;36.4;176.4017465;3.078791283;-;66;43;43.5;-66.72876222;-1.164636607;296.4837;-4.6847;3.796;3.634;0.162;0.2;-0.04;A7V;A7;73.00693777;
HD 10250 ;01 42 55,86416;+70 37 21,0894;01;42;55.9;25.73276733;0.449121516;+;70;37;21.1;70.62252483;1.232595584;127.2148;8.1802;5.155;5.177;-0.022;-0.07;0.05;B9V;B9;96.06227076;
HD 102509;11 47 59,13595;+20 13 08,1500;11;47;59.1;176.9963998;3.089169941;+;20;13;08.2;20.21893056;0.352886909;235.0034;73.9319;5.053;4.537;0.516;0.2;0.32;A7V+,,,;A7;70.51178397;
HD 102776;11 49 41,06060;-63 47 18,5249;11;49;41.1;177.4210858;3.09658211;-;63;47;18.5;-63.78847914;-1.113318986;296.1765;-1.7296;4.174;4.313;-0.139;-0.2;0.06;B3Vne;B3;72.44809893;
HD 103079;11 51 51,22590;-65 12 21,2653;11;51;51.2;177.9634413;3.106047998;-;65;12;21.3;-65.20590703;-1.138057769;296.7344;-3.0536;4.803;4.929;-0.126;-0.18;0.05;B4V;B4;73.11116002;
HD 103101;11 52 10,27889;-56 59 15,8729;11;52;10.3;178.0428287;3.107433571;-;56;59;15.9;-56.98774247;-0.994623739;294.8929;4.9561;5.621;5.563;0.058;0.05;0.01;A2V;A2;70.77344435;
HD 103287;11 53 49,84732;+53 41 41,1350;11;53;49.8;178.4576972;3.114674391;+;53;41;41.1;53.69475972;0.937150348;140.8399;61.3849;2.45;2.44;0.01;-0.01;0.02;A0Ve;A0;83.39745021;
HD 103578;11 55 40,53346;+15 38 48,5432;11;55;40.5;178.9188894;3.122723714;+;15;38;48.5;15.64681756;0.273088484;251.671;72.6973;5.64;5.531;0.109;0.08;0.03;A3V;A3;71.04765977;
HD 103632;11 56 00,95323;-17 09 02,9781;11;56;01.0;179.0039718;3.124208682;-;17;09;03.0;-17.15082725;-0.299338405;284.4719;43.7254;5.146;5.168;-0.022;-0.01;-0.01;A0V;A0;66.46748344;
HD 103884;11 57 40,00819;-62 26 55,4867;11;57;40.0;179.4167008;3.131412162;-;62;26;55.5;-62.44874631;-1.089936237;296.759;-0.2232;5.404;5.552;-0.148;-0.2;0.05;B3V;B3;72.91805329;
HD 104174;11 59 37,57634;-78 13 18,6179;11;59;37.6;179.9065681;3.139961959;-;78;13;18.6;-78.22183831;-1.365228625;300.2088;-15.6249;4.85;4.898;-0.048;-0.07;0.02;B9Vn;B9;77.88867109;
HD 104181;11 59 56,91293;+03 39 18,7141;11;59;56.9;179.9871372;3.141368156;+;03;39;18.7;3.655198361;0.063795246;273.0475;63.499;5.363;5.357;0.006;-0.01;0.02;A0V;A0;69.54235189;
HD 104321;12 00 52,39042;+06 36 51,5571;12;00;52.4;180.2182934;3.145402592;+;06;36;51.6;6.614321417;0.115441687;270.2963;66.228;4.775;4.659;0.116;0.15;-0.03;A5V;A5;70.3060599;
HD 104600;12 02 37,69286;-69 11 32,2330;12;02;37.7;180.6570536;3.153060402;-;69;11;32.2;-69.19228694;-1.207633224;298.5959;-6.7325;5.81;5.878;-0.068;-0.07;0.00;B9V;B9;75.29604344;
HD 10516 ;01 43 39,63792;+50 41 19,4328;01;43;39.6;25.915158;0.452304833;+;50;41;19.4;50.68873133;0.884685255;131.3247;-11.3301;4;4.09;-0.09;-0.24;0.15;B2Vpe;B2;93.24783572;
HD 10538 ;01 42 02,99377;-36 49 56,2995;01;42;03.0;25.51247404;0.445276672;-;36;49;56.3;-36.83230542;-0.642845001;258.273;-75.556;5.703;5.706;-0.003;0.02;-0.02;A1V;A1;81.81663437;
HD 105416;12 08 14,71198;-48 41 32,9487;12;08;14.7;182.0612999;3.177569124;-;48;41;32.9;-48.69248575;-0.849844197;295.623;13.5653;5.319;5.334;-0.015;-0.07;0.06;B9V;B9;71.37370495;
HD 105805;12 10 46,09635;+27 16 53,4251;12;10;46.1;182.6920681;3.188578106;+;27;16;53.4;27.28150697;0.476152122;209.6345;80.9585;6.116;5.999;0.117;0.12;0.00;A4Vn;A4;77.50720482;
HD 105850;12 11 03,83904;-23 36 08,7202;12;11;03.8;182.765996;3.189868391;-;23;36;08.7;-23.60242228;-0.41193998;291.1169;38.3413;5.52;5.47;0.05;0.02;0.03;A1V;A1;69.91498489;
HD 105937;12 11 39,11770;-52 22 06,4432;12;11;39.1;182.9129904;3.192433927;-;52;22;06.4;-52.36845644;-0.914001989;296.7837;10.0277;3.809;3.951;-0.142;-0.2;0.06;B3V;B3;72.51587555;
HD 1064  ;00 14 54,51542;-09 34 10,4503;00;14;54.5;3.727147583;0.065050997;-;09;34;10.5;-9.569569528;-0.167020496;95.0634;-70.4388;5.69;5.757;-0.067;-0.07;0.00;B9V;B9;105.7160541;
HD 106591;12 15 25,56063;+57 01 57,4156;12;15;25.6;183.8565026;3.208901322;+;57;01;57.4;57.03261544;0.995406921;132.5666;59.4169;3.41;3.32;0.09;0.08;0.01;A3V;A3;87.45976272;
HD 106661;12 16 00,18569;+14 53 56,6496;12;16;00.2;184.0007737;3.211419327;+;14;53;56.6;14.89906933;0.260037815;267.161;75.2506;5.15;5.09;0.06;0.08;-0.02;A3V;A3;75.6415808;
HD 106911;12 18 20,82459;-79 18 44,0710;12;18;20.8;184.5867691;3.221646877;-;79;18;44.1;-79.31224194;-1.384259759;301.3368;-16.5431;4.12;4.235;-0.115;-0.16;0.04;B5Vn;B5;79.08105202;
HD 106983;12 18 26,24772;-64 00 11,0528;12;18;26.2;184.6093655;3.222041258;-;64;00;11.1;-64.00307022;-1.117064307;299.3248;-1.3627;3.9;4.05;-0.15;-0.24;0.09;B2,5V;B2,5;75.5585042;
HD 107070;12 18 40,31778;-00 47 13,8652;12;18;40.3;184.6679908;3.223064462;-;00;47;13.9;-0.787184778;-0.013738966;285.8463;60.993;6.063;5.908;0.155;0.15;0.00;A5Vn;A5;73.47130942;
HD 107193;12 18 49,98448;+75 09 38,0207;12;18;50.0;184.7082687;3.223767444;+;75;09;38.0;75.16056131;1.311799262;125.7236;41.7905;5.516;5.465;0.051;0.02;0.03;A1V;A1;93.57313731;
HD 107348;12 20 33,64200;-22 12 57,2410;12;20;33.6;185.140175;3.231305631;-;22;12;57.2;-22.21590028;-0.387740606;293.5769;40.0943;5.11;5.22;-0.11;-0.11;0.00;B8V;B8;72.12135065;
HD 107566;12 22 07,34002;-67 31 19,5871;12;22;07.3;185.5305834;3.238119544;-;67;31;19.6;-67.52210753;-1.178483094;300.1265;-4.8102;5.334;5.161;0.173;0.15;0.02;A5V;A5;76.63378701;
HD 107696;12 22 49,43192;-57 40 34,0725;12;22;49.4;185.7059663;3.241180553;-;57;40;34.1;-57.67613125;-1.00663839;299.0995;4.9825;5.278;5.37;-0.092;-0.07;-0.02;B9V;B9;74.95950141;
HD 107860;12 23 44,74438;-38 54 40,9767;12;23;44.7;185.9364349;3.245202989;-;38;54;41.0;-38.91138242;-0.67913174;297.0553;23.6442;5.721;5.785;-0.064;-0.07;0.01;B9V;B9;73.08699836;
HD 107966;12 24 18,52125;+26 05 55,0346;12;24;18.5;186.0771719;3.247659312;+;26;05;55.0;26.09862072;0.455506862;221.0371;83.8503;5.26;5.18;0.08;0.08;0.00;A3V;A3;80.12305184;
HD 108107;12 25 11,76485;-11 36 38,1204;12;25;11.8;186.2990202;3.251531296;-;11;36;38.1;-11.610589;-0.202643006;292.7456;50.7414;5.989;5.949;0.04;0.02;0.02;A1V;A1;73.8433805;
HD 108249;12 26 36,151 ; -3 05 57,14    ;12;26;36.2;186.6506292;3.25766803;-;03;05;57.1;-3.099205556;-0.054091341;300.1271;-0.3628;2.3;2.09;0.21;-0.26;0.47;B1V;B1;75.12180306;
HD 108257;12 26 31,75955;-51 27 02,2899;12;26;31.8;186.6323315;3.257348675;-;51;27;02.3;-51.45063608;-0.897983002;298.9801;11.2299;4.665;4.805;-0.14;-0.2;0.06;B3Vn;B3;74.65767637;
HD 108323;12 26 51,69000;-32 49 48,4379;12;26;51.7;186.715375;3.258798058;-;32;49;48.4;-32.83012164;-0.572993716;296.9856;29.7577;5.571;5.565;0.006;-0.07;0.08;B9V;B9;73.4840804;
HD 108382;12 26 59,29709;+26 49 32,5201;12;26;59.3;186.7470712;3.259351261;+;26;49;32.5;26.82570003;0.46819679;214.7205;84.5448;5.061;4.965;0.096;0.12;-0.02;A4V;A4;80.88024428;
HD 108483;12 28 02,38208;-50 13 50,2872;12;28;02.4;187.0099253;3.263938931;-;50;13;50.3;-50.23063533;-0.876689972;299.1034;12.4671;3.719;3.897;-0.178;-0.24;0.06;B2V;B2;74.76389708;
HD 108541;12 28 22,46490;-39 02 28,2168;12;28;22.5;187.0936038;3.265399395;-;39;02;28.2;-39.04117133;-0.681396984;298.0468;23.6117;5.382;5.448;-0.066;-0.11;0.04;B8V;B8;73.99214636;
HD 108765;12 29 43,23974;+20 53 45,9902;12;29;43.2;187.4301656;3.271273507;+;20;53;46.0;20.89610839;0.364705892;263.2779;82.038;5.767;5.68;0.087;0.08;0.01;A3V;A3;80.13381986;
HD 109026;12 32 28,01343;-72 07 58,7597;12;32;28.0;188.1167226;3.283256188;-;72;07;58.8;-72.13298881;-1.258958154;301.4589;-9.3155;3.694;3.83;-0.136;-0.16;0.02;B5V;B5;78.37562431;
HD 109309;12 33 46,74789;-09 27 07,4775;12;33;46.7;188.4447829;3.288981919;-;09;27;07.5;-9.452077083;-0.164969866;295.6549;53.17;5.45;5.48;-0.03;-0.01;-0.02;A0V;A0;76.15147283;
HD 10939 ;01 46 06,26346;-53 31 19,3279;01;46;06.3;26.52609775;0.462967743;-;53;31;19.3;-53.52203553;-0.934135742;285.676;-61.7365;5.068;5.039;0.029;0.02;0.01;A1V;A1;80.44213183;
HD 109536;12 35 45,53178;-41 01 19,0045;12;35;45.5;188.9397158;3.297620128;-;41;01;19.0;-41.02194569;-0.715968018;299.7487;21.7529;5.337;5.127;0.21;0.2;0.01;A7V;A7;75.48488463;
HD 109704;12 36 47,35421;-05 49 54,8412;12;36;47.4;189.1973092;3.302115982;-;05;49;54.8;-5.831900333;-0.101785862;296.259;56.8499;5.94;5.88;0.06;0.08;-0.02;A3V;A3;77.29976668;
HD 109787;12 37 42,16377;-48 32 28,6899;12;37;42.2;189.4256824;3.306101845;-;48;32;28.7;-48.54130275;-0.847205556;300.5869;14.2679;3.907;3.852;0.055;0.05;0.01;A2V;A2;76.19321704;
HD 10982 ;01 48 10,93603;+16 57 19,9768;01;48;10.9;27.04556679;0.472034189;+;16;57;20.0;16.95554911;0.295930158;141.8904;-43.8174;5.817;5.854;-0.037;-0.07;0.03;B9,5V;B9,5;86.84353397;
HD 11031 ;01 49 15,54296;+47 53 48,9227;01;49;15.5;27.31476233;0.476732537;+;47;53;48.9;47.89692297;0.835959007;132.8583;-13.8573;6.11;5.82;0.29;0.08;0.21;A3V;A3;91.89746574;
HD 110411;12 41 53,05658;+10 14 08,2548;12;41;53.1;190.4710691;3.324347285;+;10;14;08.3;10.23562633;0.178645381;294.888;72.958;4.951;4.872;0.079;-0.01;0.09;A0V;A0;80.93690516;
HD 110423;12 41 57,11727;+06 48 23,8228;12;41;57.1;190.4879886;3.324642587;+;06;48;23.8;6.806617444;0.118797885;296.1773;69.5539;5.574;5.572;0.002;0.05;-0.05;A2V;A2;80.37988796;
HD 110506;12 43 09,17897;-56 10 34,4108;12;43;09.2;190.7882457;3.329883062;-;56;10;34.4;-56.17622522;-0.980460091;301.7713;6.6769;5.912;5.985;-0.073;-0.13;0.06;B7,5V;B7,5;77.54286284;
HD 110879;12 46 16,80410;-68 06 29,2164;12;46;16.8;191.5700171;3.343527546;-;68;06;29.2;-68.10811567;-1.188710866;302.4492;-5.2412;2.91;3.07;-0.16;-0.24;0.08;B2,5V;B2,5;78.97595112;
HD 110956;12 46 22,71460;-56 29 19,7366;12;46;22.7;191.5946442;3.34395737;-;56;29;19.7;-56.48881572;-0.985915825;302.2293;6.376;4.469;4.612;-0.143;-0.2;0.06;B3V;B3;78.01022131;
HD 111270;12 47 18,95085;+62 46 52,1513;12;47;19.0;191.8289619;3.348046985;+;62;46;52.2;62.78115314;1.09573783;123.7404;54.3406;6.09;5.89;0.2;0.3;-0.10;A9V;A9;92.84424773;
HD 111397;12 48 54,21284;+14 07 21,3146;12;48;54.2;192.2258868;3.354974633;+;14;07;21.3;14.12258739;0.246485649;300.2034;76.9809;5.727;5.702;0.025;0.02;0.01;A1V;A1;83.2999684;
HD 111469;12 49 17,45211;+27 33 08,5716;12;49;17.5;192.3227171;3.35666464;+;27;33;08.6;27.552381;0.480879765;171.1549;89.3619;5.804;5.756;0.048;0.05;0.00;A2V;A2;85.87878615;
HD 111588;12 50 57,87912;-52 47 14,7281;12;50;57.9;192.741163;3.363967898;-;52;47;14.7;-52.78742447;-0.921314361;302.8592;10.0843;5.83;5.711;0.119;0.15;-0.03;A5V;A5;78.49521626;
HD 111604;12 50 10,74028;+37 31 00,9727;12;50;10.7;192.5447512;3.360539865;+;37;31;01.0;37.51693686;0.654794073;124.316;79.6079;6.043;5.885;0.158;0.08;0.08;A3V;A3;88.0444747;
HD 111774;12 51 56,93048;-39 40 49,5532;12;51;56.9;192.9872103;3.368262235;-;39;40;49.6;-39.68043144;-0.692554177;303.0389;23.1912;5.891;5.974;-0.083;-0.11;0.03;B8V;B8;78.55712693;
HD 112014;12 49 06,63608;+83 25 04,1126;12;49;06.6;192.2776503;3.355878076;+;83;25;04.1;83.41780906;1.455915423;123.0121;33.7101;5.86;5.85;0.01;-0.01;0.02;A0V+,,,;A0;96.92399135;
HD 112078;12 54 39,18258;-59 08 48,1229;12;54;39.2;193.6632608;3.38006154;-;59;08;48.1;-59.14670081;-1.032304671;303.345;3.7225;4.462;4.602;-0.14;-0.18;0.04;B4Vne;B4;79.24978238;
HD 112091;12 54 36,88630;-57 10 07,2137;12;54;36.9;193.6536929;3.37989455;-;57;10;07.2;-57.16867047;-0.997781529;303.3646;5.7004;5.019;5.113;-0.094;-0.16;0.07;B5Vne;B5;79.16880848;
HD 112131;12 54 18,66003;-11 38 54,8473;12;54;18.7;193.5777501;3.378569098;-;11;38;54.8;-11.64856869;-0.203305877;304.0551;51.2169;6.064;5.999;0.065;0.05;0.02;A2V;A2;80.9332948;
HD 112409;12 57 04,35244;-51 11 55,5058;12;57;04.4;194.2681352;3.39061859;-;51;11;55.5;-51.19875161;-0.893586789;303.8332;11.6631;5.102;5.163;-0.061;-0.11;0.05;B8,5V;B8,5;79.40365123;
HD 11241 ;01 51 59,31962;+55 08 50,5767;01;51;59.3;27.99716508;0.488642712;+;55;08;50.6;55.14738242;0.962503397;131.5739;-6.7051;5.339;5.511;-0.172;-0.26;0.09;B1,5V;B1,5;92.73528428;
HD 112846;12 59 39,51657;-03 48 42,9121;12;59;39.5;194.9146524;3.401902444;-;03;48;42.9;-3.811920028;-0.066530555;306.9153;58.9962;5.964;5.805;0.159;0.08;0.08;A3V;A3;83.20690578;
HD 113314;13 03 33,30528;-49 31 38,1518;13;03;33.3;195.888772;3.418904039;-;49;31;38.2;-49.52726439;-0.864413833;304.9518;13.297;4.857;4.83;0.027;-0.01;0.04;A0V;A0;80.44885527;
HD 113703;13 06 16,70411;-48 27 47,8460;13;06;16.7;196.5696005;3.430786737;-;48;27;47.8;-48.46329056;-0.845843987;305.4702;14.3353;4.564;4.694;-0.13;-0.16;0.03;B5V;B5;80.92332154;
HD 113791;13 06 54,63940;-49 54 22,4823;13;06;54.6;196.7276642;3.433545469;-;49;54;22.5;-49.90624508;-0.871028294;305.4865;12.8887;4.084;4.264;-0.18;-0.26;0.08;B1,5V;B1,5;80.98151192;
HD 113797;13 05 44,43582;+35 47 56,0374;13;05;44.4;196.4351493;3.428440121;+;35;47;56.0;35.79889928;0.624808661;104.4654;80.8107;5.133;5.191;-0.058;-0.07;0.01;B9V;B9;90.80172258;
HD 113902;13 07 38,28392;-53 27 35,1498;13;07;38.3;196.9095163;3.436719389;-;53;27;35.1;-53.45976383;-0.933048896;305.3743;9.3351;5.64;5.701;-0.061;-0.11;0.05;B8V;B8;80.99971255;
HD 11413 ;01 50 54,43472;-50 12 22,0966;01;50;54.4;27.72681133;0.483924149;-;50;12;22.1;-50.20613794;-0.876262412;280.6992;-64.2771;6.086;5.943;0.143;0.02;0.12;A1V;A1;79.72184234;
HD 114570;13 12 48,80347;-66 13 36,2897;13;12;48.8;198.2033478;3.459301007;-;66;13;36.3;-66.22674714;-1.15587479;305.0874;-3.4445;5.95;5.905;0.045;-0.01;0.05;A0Vm,,,;A0;81.45530822;
HD 114772;13 13 23,35287;-50 41 59,3747;13;13;23.4;198.3473036;3.461813511;-;50;41;59.4;-50.69982631;-0.884878899;306.4826;12.0205;5.896;5.908;-0.012;-0.07;0.06;B9V;B9;81.98341065;
HD 114911;13 15 14,94123;-67 53 40,5276;13;15;14.9;198.8122551;3.469928445;-;67;53;40.5;-67.894591;-1.184984157;305.1775;-5.1267;4.697;4.774;-0.077;-0.11;0.03;B8V;B8;81.67469986;
HD 11502 ;01 53 31,80; +19 17 45,0      ;01;53;31.8;28.3825;0.495368075;+;19;17;45.0;19.29583333;0.336775824;142.5472;-41.1989;4.8;4.7;0.1;-0.07;0.17;B9V;B9;85.98258003;
HD 115271;13 15 31,95290;+40 51 18,7208;13;15;32.0;198.8831371;3.471165569;+;40;51;18.7;40.85520022;0.71305776;104.5748;75.4027;5.96;5.778;0.182;0.2;-0.02;A7V;A7;93.44600031;
HD 115735;13 18 14,50965;+49 40 55,4234;13;18;14.5;199.5604569;3.482987029;+;49;40;55.4;49.68206206;0.867115562;111.8527;66.8656;5.08;5.15;-0.07;-0.01;-0.06;A0V;A0;95.00389784;
HD 115823;13 20 37,82506;-52 44 52,1702;13;20;37.8;200.1576044;3.49340922;-;52;44;52.2;-52.74782506;-0.92062322;307.4085;9.87;5.328;5.447;-0.119;-0.14;0.02;B6V;B6;82.98051317;
HD 116087;13 22 37,93612;-60 59 18,2178;13;22;37.9;200.6580672;3.502143943;-;60;59;18.2;-60.98839383;-1.064448278;306.7068;1.6545;4.38;4.505;-0.125;-0.2;0.08;B3V;B3;82.72270689;
HD 116160;13 21 41,64387;+02 05 14,0741;13;21;41.6;200.4235161;3.498050255;+;02;05;14.1;2.087242806;0.036429259;320.35;63.9311;5.735;5.693;0.042;0.05;-0.01;A2V;A2;89.47254714;
HD 11636 ;01 54 38,41099;+20 48 28,9133;01;54;38.4;28.66004579;0.500212163;+;20;48;28.9;20.80803147;0.36316866;142.2449;-39.6817;2.77;2.64;0.13;0.15;-0.02;A5V;A5;85.9891881;
HD 116656;13 23 55,2 ; + 54 55 25         ;13;23;55.2;200.98;3.507762731;+;54;55;25.0;54.92361111;0.958597851;113.1112;61.581;2.08;2.06;0.02;0.05;-0.03;A2V;A2;96.38540046;
HD 116656;13 23 55,54048;+54 55 31,2671;13;23;55.5;200.9814187;3.507787491;+;54;55;31.3;54.92535197;0.958628235;113.1105;61.5791;2.29;2.27;0.02;0.05;-0.03;A2V;A2;96.38635957;
HD 117150;13 29 25,25383;-51 09 54,4823;13;29;25.3;202.3552243;3.531764923;-;51;09;54.5;-51.16513397;-0.89300005;308.9869;11.2595;5.105;5.05;0.055;0.02;0.04;A1V;A1;84.46625152;
HD 117376;13 28 27,08646;+59 56 44,8349;13;28;27.1;202.1128603;3.527534872;+;59;56;44.8;59.94578747;1.046251364;114.5255;56.5743;5.39;5.4;-0.01;0.02;-0.03;A1Vn;A1;97.34999563;
HD 11753 ;01 54 22,03347;-42 29 49,0183;01;54;22.0;28.59180613;0.499021156;-;42;29;49.0;-42.49694953;-0.741711691;267.1742;-69.9943;5.064;5.112;-0.048;0.08;-0.13;A3V;A3;79.20348289;
HD 118054;13 34 40,45020;-13 12 51,5716;13;34;40.5;203.6685425;3.554686649;-;13;12;51.6;-13.21432544;-0.230633487;318.8659;48.3152;5.94;5.922;0.018;-0.01;0.03;A0V;A0;90.50808627;
HD 118098;13 34 41,59115;-00 35 44,9487;13;34;41.6;203.6732965;3.554769622;-;00;35;44.9;-0.595819083;-0.010399005;325.2459;60.3884;3.48;3.4;0.08;0.08;0.00;A3V;A3;92.31657863;
HD 118214;13 34 07,30510;+55 20 54,3673;13;34;07.3;203.5304379;3.55227627;+;55;20;54.4;55.34843536;0.966012433;110.4938;60.7371;5.579;5.594;-0.015;-0.01;-0.01;A0V;A0;97.86800624;
HD 118232;13 34 27,25928;+49 00 57,5065;13;34;27.3;203.6135803;3.553727379;+;49;00;57.5;49.01597403;0.855490133;104.9944;66.587;4.82;4.7;0.12;0.15;-0.03;A5V;A5;97.57622445;
HD 118354;13 37 23,47424;-46 25 40,3741;13;37;23.5;204.3478093;3.566542092;-;46;25;40.4;-46.42788169;-0.8103194;311.1307;15.711;5.794;5.891;-0.097;-0.11;0.01;B8V;B8;86.33366216;
HD 118991;13 41 44,77217;-54 33 33,9275;13;41;44.8;205.4365507;3.585544214;-;54;33;33.9;-54.55942431;-0.952241592;310.2503;7.5959;4.96;5.01;-0.05;-0.11;0.06;B8Vn;B8;85.90176683;
HD 119024;13 39 30,44761;+52 55 16,3533;13;39;30.4;204.876865;3.575775856;+;52;55;16.4;52.92120925;0.923649346;107.0478;62.6994;5.573;5.467;0.106;0.08;0.03;A3Vn;A3;98.557476;
HD 119055;13 40 40,46962;+19 57 20,5859;13;40;40.5;205.1686234;3.580868;+;19;57;20.6;19.95571831;0.348292989;3.0797;76.6416;5.774;5.753;0.021;0.02;0.00;A1V;A1;96.3793068;
HD 11946 ;01 59 38,03766;+64 37 17,7623;01;59;38.0;29.90849025;0.522001629;+;64;37;17.8;64.62160064;1.127859699;130.1589;2.711;5.284;5.283;0.001;-0.01;0.01;A0Vn;A0;93.54588045;
HD 119476;13 41 29,89279;+64 49 20,6778;13;41;29.9;205.3745533;3.584462155;+;64;49;20.7;64.8224105;1.131364492;114.4212;51.4707;5.93;5.85;0.08;0.05;0.03;A2V;A2;98.98939427;
HD 119752;13 45 36,89030;-26 06 57,6301;13;45;36.9;206.4037096;3.602424321;-;26;06;57.6;-26.11600836;-0.455810333;317.841;35.1824;5.826;5.805;0.021;-0.01;0.03;A0V;A0;91.06630009;
HD 119921;13 46 56,35225;-36 15 06,9573;13;46;56.4;206.734801;3.608202957;-;36;15;07.0;-36.25193258;-0.632715584;315.2817;25.2853;5.147;5.155;-0.008;-0.01;0.00;A0V;A0;89.65800656;
HD 120047;13 46 13,54556;+41 05 19,4774;13;46;13.5;206.5564398;3.605089966;+;41;05;19.5;41.08874372;0.717133863;87.5214;72.0613;6.084;5.891;0.193;0.15;0.04;A5V;A5;99.23553424;
HD 120315;13 47 32,43776;+49 18 47,7602;13;47;32.4;206.8851573;3.610827169;+;49;18;47.8;49.31326672;0.860678869;100.6956;65.3225;1.755;1.852;-0.097;-0.2;0.10;B3V;B3;99.72529655;
HD 120324;13 49 36,98863;-42 28 25,4296;13;49;37.0;207.4041193;3.619884764;-;42;28;25.4;-42.47373044;-0.741306442;314.2377;19.1172;3.274;3.456;-0.182;-0.24;0.06;B2Vnpe;B2;89.10186703;
HD 120640;13 51 47,21507;-46 53 55,2079;13;51;47.2;207.9467295;3.629355098;-;46;53;55.2;-46.89866886;-0.818536186;313.5287;14.7276;5.599;5.75;-0.151;-0.24;0.09;B2Vp;B2;88.69864968;
HD 120642;13 52 04,86066;-52 48 41,5086;13;52;04.9;208.0202528;3.630638321;-;52;48;41.5;-52.81153017;-0.921735084;312.1409;8.9725;5.165;5.248;-0.083;-0.07;-0.01;B9V;B9;87.68980432;
HD 121164;13 53 10,28171;+28 38 53,2793;13;53;10.3;208.2928405;3.635395874;+;28;38;53.3;28.64813314;0.500004248;42.8782;76.2844;6.098;5.911;0.187;0.2;-0.01;A7V;A7;99.97845824;
HD 121190;13 55 12,14182;-52 09 38,9581;13;55;12.1;208.8005909;3.644257792;-;52;09;39.0;-52.16082169;-0.910378079;312.7674;9.489;5.588;5.654;-0.066;-0.07;0.00;B9V;B9;88.27590937;
HD 121409;13 53 51,01399;+53 43 43,2299;13;53;51.0;208.4625583;3.638358009;+;53;43;43.2;53.72867497;0.937742281;103.7614;61.0151;5.666;5.698;-0.032;-0.01;-0.02;A0V;A0;100.7053818;
HD 121607;13 56 27,87652;+01 03 02,0940;13;56;27.9;209.1161522;3.649765374;+;01;03;02.1;1.050581667;0.018336109;336.5265;59.6121;6.104;5.906;0.198;0.27;-0.07;A8V;A8;97.93539605;
HD 121847;13 58 31,14642;-24 58 20,0979;13;58;31.1;209.6297768;3.658729815;-;24;58;20.1;-24.97224942;-0.435847974;321.6599;35.4481;5.05;5.15;-0.1;-0.11;0.01;B8V;B8;94.13276669;
HD 121996;13 58 38,92201;+21 41 46,3749;13;58;38.9;209.662175;3.659295271;+;21;41;46.4;21.69621525;0.378670391;17.0193;73.7815;5.753;5.756;-0.003;-0.01;0.01;A0Vs;A0;100.7227519;
HD 12216 ;02 03 26,10618;+72 25 16,6578;02;03;26.1;30.85877575;0.53858724;+;72;25;16.7;72.42129383;1.263990026;128.375;10.3147;3.971;3.948;0.023;0.05;-0.03;A2V;A2;94.74678944;
HD 122365;14 01 20,42877;+08 53 41,6655;14;01;20.4;210.3351199;3.671040374;+;08;53;41.7;8.894907083;0.155245415;348.379;65.3959;6.062;5.981;0.081;0.05;0.03;A2V;A2;100.1370744;
HD 122408;14 01 38,79341;+01 32 40,3145;14;01;38.8;210.4116392;3.672375889;+;01;32;40.3;1.544531806;0.026957165;339.2177;59.3767;4.341;4.244;0.097;0.08;0.02;A3V;A3;99.28611684;
HD 12279 ;02 02 52,47648;+64 54 05,2688;02;02;52.5;30.718652;0.536141619;+;64;54;05.3;64.90146356;1.132744228;130.4173;3.073;6.026;5.999;0.027;0.02;0.01;A1Vn;A1;93.2636734;
